#
# Sprite sheet data for MonoGame.
#
# To learn how to import these sprites into your MonoGame project visit:
# http://www.codeandweb.com/texturepacker/monogame
#
# Sprite sheet: ghost.png (432 x 52)
# $TexturePacker:SmartUpdate:9b8eebcfb164f5c15530205508a63ccd:4036129f2214c14c2aa8248886a50468:e2b4fb17a14229f4ca1efacd45a113a7$
#

down1;0;2;2;34;46;38;49;0.47058823529411764;0.4673913043478261
down2;0;142;2;36;45;39;47;0.4861111111111111;0.4777777777777778
down3;0;286;2;36;44;39;48;0.4861111111111111;0.4772727272727273
left1;0;74;2;32;46;38;51;0.5;0.44565217391304346
left2;0;218;2;32;45;41;49;0.484375;0.45555555555555555
left3;0;362;2;32;44;34;49;0.5;0.4659090909090909
right1;0;108;2;32;46;36;49;0.53125;0.4673913043478261
right2;0;252;2;32;45;35;48;0.515625;0.4666666666666667
right3;0;396;2;32;44;34;47;0.5;0.4659090909090909
up1;0;38;2;34;46;41;46;0.5147058823529411;0.5
up2;0;180;2;36;45;43;45;0.4861111111111111;0.5
up3;0;324;2;36;44;41;46;0.4861111111111111;0.5
